City,Housing,Cost of Living,Startups,Travel Connectivity,Commute,Safety,Healthcare,Education,Environmental Quality,Taxation,Internet Access,lat,lng,Overall
"Bronx, NY",1.0,2.342,10.0,6.675,5.5192499999999995,7.022,8.501666666666665,8.0935,5.233749999999999,3.9205,7.0985,40.8501,-73.8662,5.946015151515152
"Milwaukee, WI",6.1225,5.526,4.8305,1.5875,4.915000000000001,4.267,8.594333333333333,4.177,7.989000000000001,4.204,4.346,43.0642,-87.9675,5.14171212121212
"Providence, RI",3.1530000000000005,0.0,3.7640000000000002,3.0185,2.422,6.846,8.885333333333334,5.3015,5.900499999999999,4.204,8.9345,41.823,-71.4187,4.76630303030303
"Jacksonville, FL",6.450000000000001,5.359,4.3475,1.5674999999999997,1.40575,3.8255,8.498,3.6245,7.12025,4.772,6.157500000000001,30.3322,-81.6749,4.829772727272727
"Salt Lake City, UT",6.141000000000001,6.172000000000001,6.3,2.736999999999999,4.573999999999999,5.657,8.818666666666665,4.2805,6.21575,4.204,6.810500000000001,40.7776,-111.9311,5.628219696969697
"Nashville, TN",4.4545,5.742000000000001,6.0600000000000005,1.9080000000000004,4.501,5.078,8.370333333333333,4.733,7.056499999999999,4.772,6.6370000000000005,36.1715,-86.7842,5.392030303030303
"Raleigh, NC",6.128500000000001,5.610000000000001,5.497,1.7570000000000001,4.78425,6.5225,8.966666666666667,7.1165,8.583750000000002,4.062,7.9515,35.8324,-78.6429,6.089060606060607
"Memphis, TN",7.1145000000000005,5.829,4.449499999999999,1.6615000000000002,1.9175,2.8585000000000003,7.523666666666666,3.6245,4.545249999999999,4.772,6.07,35.1087,-89.9663,4.578719696969697
"Richmond, VA",6.439500000000002,5.949,4.2705,1.38,5.648499999999999,3.3765,8.855333333333332,3.6245,6.6217500000000005,4.204,7.645499999999999,37.5295,-77.4756,5.2740984848484835
"Louisville, KY",7.258,6.358000000000001,4.254,1.4729999999999999,1.954,3.6175,8.558333333333334,3.6245,6.601249999999999,4.062,5.526999999999999,38.1663,-85.6485,4.844325757575757
"New Orleans, LA",5.339,4.991999999999999,4.7365,1.7570000000000001,4.6274999999999995,2.088,8.311666666666666,4.151999999999999,5.674,4.346,6.453000000000001,30.0687,-89.9288,4.770606060606061
"Oklahoma City, OK",7.261000000000001,6.394,4.1375,1.399,5.0272499999999996,4.6855,8.549,3.6245,7.61525,4.204,7.689,35.4676,-97.5136,5.507818181818181
"Buffalo, NY",7.0765,5.228000000000001,3.9470000000000005,1.511,2.154,7.1884999999999994,8.498,4.212,8.329249999999998,3.9205,6.757999999999999,42.9018,-78.8487,5.347522727272727
"Fort Worth, TX",5.259000000000001,6.090999999999999,7.939500000000001,4.746499999999999,4.4704999999999995,4.3389999999999995,8.439333333333332,4.284,6.693,4.772,6.4609999999999985,32.7817,-97.3474,5.772257575757575
"Honolulu, HI",2.3415000000000004,2.867,4.1335,1.983,4.1617500000000005,6.8565000000000005,8.474,4.2805,6.094000000000001,4.204,6.158,21.3294,-157.846,4.686704545454546
"Omaha, NE",7.040500000000001,5.994000000000001,4.0120000000000005,1.4165,2.1277500000000003,5.5520000000000005,8.879999999999997,4.128,7.876000000000001,4.204,6.3065,41.2627,-96.0529,5.23065909090909
"Albuquerque, NM",7.2620000000000005,6.059,3.7720000000000002,1.4555000000000002,5.05575,1.3435,8.508666666666665,4.151999999999999,7.3195,4.346,5.396000000000001,35.1054,-106.6465,4.969992424242424
"Birmingham, AL",6.5555,5.133,4.3575,1.4354999999999998,2.02075,1.776,8.743333333333332,3.6245,7.0375,4.204,5.1605,33.5279,-86.7971,4.549825757575757
"Sarasota, FL",5.696,5.253,6.3469999999999995,2.9055000000000004,1.40075,4.706499999999999,8.781666666666666,4.2805,7.37875,4.772,7.195,27.3387,-82.5432,5.337878787878787
"Rochester, NY",6.727,5.4879999999999995,4.3355,1.3980000000000001,1.90775,5.899,8.585666666666667,4.494999999999999,5.93525,3.9205,5.551,43.168,-77.6162,4.931151515151514
"Concord, CA",1.0,2.618,10.0,3.6545000000000005,4.687250000000001,5.7155000000000005,8.748,8.6245,6.4815000000000005,4.488,5.605500000000001,37.9722,-122.0016,5.602068181818181
"Charleston, SC",4.6370000000000005,3.567,4.92,1.399,4.62075,5.0555,8.914333333333332,3.6245,7.276,4.062,6.093,32.8168,-79.9687,4.924462121212121
"Colorado Springs, CO",6.4995,5.375,4.267,1.266,1.7352500000000004,5.3774999999999995,8.393666666666666,3.6245,8.526500000000002,4.346,5.9225,38.8674,-104.7605,5.030310606060606
"Knoxville, TN",6.9754999999999985,6.447000000000001,3.5165,1.379,1.943,5.1295,8.579333333333333,4.212,3.7232499999999997,4.772,7.092499999999999,35.9692,-83.9496,4.888143939393939
"Mission Viejo, CA",1.5274999999999999,4.556000000000001,10.0,3.9585000000000004,3.6770000000000005,5.705,8.439666666666666,8.6245,4.7315000000000005,4.7675,5.496500000000001,33.6096,-117.6551,5.589424242424243
"Murrieta, CA",1.5274999999999999,4.556000000000001,10.0,3.9585000000000004,3.6770000000000005,5.705,8.439666666666666,8.6245,4.7315000000000005,4.7675,5.496500000000001,33.5719,-117.1909,5.589424242424243
"Des Moines, IA",6.850999999999999,6.327,2.912,1.379,2.0722500000000004,6.984,8.841333333333331,3.6245,8.68225,4.346,5.6979999999999995,41.5725,-93.6105,5.247030303030304
"Worcester, MA",1.0,4.259,9.565000000000001,3.215,4.39625,7.742000000000001,8.956,8.6245,8.1705,4.062,5.700500000000001,42.2705,-71.8079,5.971886363636364
"Mesa, AZ",6.5329999999999995,6.208,6.508500000000001,3.3024999999999998,4.828500000000001,2.5829999999999997,8.567333333333334,4.590999999999999,4.625249999999999,4.488,6.178,33.4015,-111.7178,5.310280303030303
"Staten Island, NY",1.0,2.342,10.0,6.675,5.5192499999999995,7.022,8.501666666666665,8.0935,5.233749999999999,3.9205,7.0985,40.5834,-74.1496,5.946015151515152
"Long Beach, CA",1.5274999999999999,4.556000000000001,10.0,3.9585000000000004,3.6770000000000005,5.705,8.439666666666666,8.6245,4.7315000000000005,4.7675,5.496500000000001,33.7977,-118.167,5.589424242424243
"Madison, WI",5.8294999999999995,6.173,4.017,1.2295,5.473750000000001,7.362000000000001,9.023666666666665,5.385999999999999,9.524000000000001,4.204,4.9925,43.0822,-89.393,5.746810606060606
