,city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id
54,Hartford,Hartford,CT,Connecticut,9003,Hartford,41.7661,-72.6834,918434,2722.0,shape,False,True,America/New_York,2,06106 06105 06103 06120 06112 06114,1840004773
55,Fort Worth,Fort Worth,TX,Texas,48439,Tarrant,32.7817,-97.3474,892221,992.0,shape,False,True,America/Chicago,2,76164 76040 76134 76135 76137 76131 76132 76133 76109 76108 76105 76104 76107 76106 76103 76102 76155 76053 76052 76123 76120 76244 76179 76177 76036 76140 76262 76006 76118 76119 76116 76117 76114 76115 76112 76110 76111 76129 76127 76126,1840020696
56,Tucson,Tucson,AZ,Arizona,4019,Pima,32.1541,-110.8787,883127,873.0,shape,False,True,America/Phoenix,2,85705 85707 85706 85709 85710 85756 85723 85726 85724 85701 85708 85719 85748 85745 85747 85716 85714 85715 85712 85713 85711 85734 85730 85721,1840022101
57,Honolulu,Honolulu,HI,Hawaii,15003,Honolulu,21.3294,-157.846,834138,2214.0,shape,False,True,Pacific/Honolulu,2,96859 96858 96850 96819 96820 96822 96826 96813 96815 96814 96817 96816 96818 96848,1840013305
58,McAllen,McAllen,TX,Texas,48215,Hidalgo,26.2252,-98.2467,805270,883.0,shape,False,True,America/Chicago,2,78573 78504 78503 78501 78557,1840021024
59,El Paso,El Paso,TX,Texas,48141,El Paso,31.8476,-106.43,798217,1015.0,shape,False,True,America/Denver,2,79901 79902 79903 79904 79905 79906 79907 79930 79932 79935 79934 79936 79915 79912 79911 79835 79922 79920 79927 79924 79925,1840023252
60,Omaha,Omaha,NE,Nebraska,31055,Douglas,41.2627,-96.0529,791432,1307.0,shape,False,True,America/Chicago,2,68112 68114 68117 68116 68118 68182 68183 68105 68108 68178 68110 68122 68127 68124 68111 68022 68137 68135 68132 68144 68134 68131 68130 68102 68106 68107 68104 68164 68152 68154,1840009315
61,Albuquerque,Albuquerque,NM,New Mexico,35001,Bernalillo,35.1054,-106.6465,762853,1155.0,shape,False,True,America/Denver,2,87123 87112 87113 87110 87111 87114 87109 87108 87101 87102 87105 87104 87107 87106 87120,1840019176
62,Birmingham,Birmingham,AL,Alabama,1073,Jefferson,33.5279,-86.7971,753721,553.0,shape,False,True,America/Chicago,2,35218 35214 35215 35217 35210 35211 35212 35213 35224 35221 35222 35203 35207 35206 35205 35204 35209 35208 35094 35254 35068 35061 35228 35234 35235 35233 35243 35242 35249,1840006507
63,Sarasota,Sarasota,FL,Florida,12115,Sarasota,27.3387,-82.5432,727388,1518.0,shape,False,True,America/New_York,2,34232 34234 34237 34236 34239,1840015988
64,Dayton,Dayton,OH,Ohio,39113,Montgomery,39.7805,-84.2003,723844,971.0,shape,False,True,America/New_York,2,45432 45469 45402 45403 45406 45404 45405 45409 45428 45420 45423 45424 45410 45414 45417 45419 45377,1840034249
65,Rochester,Rochester,NY,New York,36055,Monroe,43.168,-77.6162,720189,2227.0,shape,False,True,America/New_York,2,14608 14609 14606 14607 14604 14605 14627 14620 14621 14619 14615 14614 14617 14611 14610 14613 14612 14642,1840000373
66,Fresno,Fresno,CA,California,6019,Fresno,36.783,-119.7939,702486,1763.0,shape,False,True,America/Los_Angeles,2,93740 93741 93730 93650 93702 93703 93701 93706 93704 93705 93722 93728 93720 93721 93726 93727 93711 93710,1840020319
67,Tulsa,Tulsa,OK,Oklahoma,40143,Tulsa,36.1283,-95.9042,698349,786.0,shape,False,True,America/Chicago,2,74137 74134 74132 74133 74130 74136 74135 74146 74145 74127 74126 74112 74114 74115 74119 74015 74106 74129 74128 74120 74171 74110 74116 74117 74107 74105 74103 74104 74108,1840021672
68,Allentown,Allentown,PA,Pennsylvania,42077,Lehigh,40.5961,-75.4756,688658,2664.0,shape,False,True,America/New_York,2,18104 18101 18103 18102 18109,1840001044
